area,Red,Green,Blue
+ACI-Theater District, Midtown West+ACI-,,,
Greenwich Village,,,
+ACI-East Village, Alphabet City+ACI-,,,
West Village,130,128,129
Flatiron,130,127,130
Chinatown,130,130,127
+ACI-Theater District, Hell's Kitchen, Midtown West+ACI-,,,
Park Slope,,,
Chelsea,130,128,127
Midtown West,129,130,129
Boerum Hill,,,
Financial District,130,130,129
+ACI-Williamsburg +AC0- South Side, Williamsburg +AC0- North Side+ACI-,,,
Williamsburg +AC0- South Side,,,
+ACI-Meatpacking District, Chelsea+ACI-,130,128,128
East Village,130,129,128
Astoria,,,
Nolita,,,
Borough Park,,,
Clinton Hill,,,
DUMBO,,,
South Village,,,
+ACI-Chinatown, Civic Center+ACI-,,,
Lower East Side,130,129,130
Carroll Gardens,,,
+ACI-Brooklyn Heights, Cobble Hill+ACI-,,,
Midtown East,129,130,128
Williamsburg +AC0- North Side,,,
Bushwick,,,
+ACI-Union Square, Gramercy, Flatiron+ACI-,,,
+ACI-Yorkville, Upper East Side+ACI-,,,
Brooklyn Heights,,,
Greenpoint,,,
Long Island City,,,
Bay Ridge,,,
+ACI-Bedford Stuyvesant, Clinton Hill+ACI-,,,
+ACI-Hunters Point, Long Island City+ACI-,,,
Cobble Hill,,,
Red Hook,,,
TriBeCa,130,130,128
Gramercy,130,127,128
+ACI-Kensington, Flatbush+ACI-,,,
Battery Park,130,130,130
South Street Seaport,,,
+ACI-Meatpacking District, West Village+ACI-,,,
Prospect Heights,,,
Downtown Brooklyn,,,
SoHo,130,129,127
Ridgewood,,,
Little Italy,130,129,129
+ACI-Midtown East, Murray Hill, Kips Bay+ACI-,,,
Crown Heights,,,
Fort Greene,,,
East Williamsburg,,,
+ACI-Hell's Kitchen, Midtown West+ACI-,129,130,130
Woodside,,,
Elmhurst,,,
Bedford Stuyvesant,,,
+ACI-Midtown East, Murray Hill+ACI-,,,
+ACI-Koreatown, Midtown West+ACI-,,,
+ACI-Downtown Brooklyn, Boerum Hill+ACI-,,,
Two Bridges,,,
+ACI-Park Slope, South Slope+ACI-,,,
Sunnyside,,,
+ACI-Sunset Park, Borough Park+ACI-,,,
+ACI-Little Italy, Nolita+ACI-,,,
Hunters Point,,,
NoHo,130,128,130
+ACI-Union Square, Greenwich Village+ACI-,,,
Upper West Side,129,130,127
Flatbush,,,
Sunset Park,,,
Harlem,129,129,128
+ACI-Meatpacking District, Chelsea, West Village+ACI-,,,
Prospect Lefferts Gardens,,,
Bensonhurst,,,
+ACI-Lower East Side, Chinatown+ACI-,,,
+ACI-Union Square, Flatiron+ACI-,130,127,129
South Williamsburg,,,
St. George,,,
+ACI-Cobble Hill, Gowanus+ACI-,,,
Upper East Side,,,
+ACI-Boerum Hill, Cobble Hill+ACI-,,,
Stapleton,,,
+ACI-Bedford Stuyvesant, Bushwick+ACI-,,,
+ACI-Midtown East, Kips Bay+ACI-,130,127,127
+ACI-Chelsea, Midtown West+ACI-,,,
Gowanus,,,
+ACI-East Williamsburg, Bushwick+ACI-,,,
North Corona,,,
+ACI-Crown Heights, Prospect Heights+ACI-,,,
+ACI-Gramercy, Flatiron+ACI-,,,
Manhattan Valley,129,129,129
East Harlem,129,129,127
Washington Heights,129,128,130
